date,ticker,open,high,low,close,adj_close,volume
,,000001.SS,000001.SS,000001.SS,000001.SS,000001.SS,000001.SS
2023-12-18,000001.SS,2936.580078125,2951.14990234375,2924.330078125,2930.800048828125,2930.800048828125,293100
2023-12-19,000001.SS,2928.762939453125,2940.5009765625,2914.125,2932.39111328125,2932.39111328125,265900
2023-12-20,000001.SS,2932.118896484375,2937.10107421875,2902.0400390625,2902.110107421875,2902.110107421875,265600
2023-12-21,000001.SS,2892.02001953125,2924.256103515625,2882.02001953125,2918.715087890625,2918.715087890625,282500
2023-12-22,000001.SS,2919.2880859375,2935.699951171875,2906.509033203125,2914.77490234375,2914.77490234375,296600
2023-12-25,000001.SS,2909.875,2920.632080078125,2903.987060546875,2918.81298828125,2918.81298828125,229800
2023-12-26,000001.SS,2917.969970703125,2917.969970703125,2892.840087890625,2898.8798828125,2898.8798828125,228100
2023-12-27,000001.SS,2900.14892578125,2917.9560546875,2890.1650390625,2914.614013671875,2914.614013671875,247900
2023-12-28,000001.SS,2913.110107421875,2961.64794921875,2909.388916015625,2954.7041015625,2954.7041015625,339200
2023-12-29,000001.SS,2950.8369140625,2975.031982421875,2950.01708984375,2974.93505859375,2974.93505859375,290700
2024-01-02,000001.SS,2972.77490234375,2976.26806640625,2962.27587890625,2962.27587890625,2962.27587890625,304100
2024-01-03,000001.SS,2957.112060546875,2971.282958984375,2953.2900390625,2967.2470703125,2967.2470703125,285500
2024-01-04,000001.SS,2965.509033203125,2966.68310546875,2936.635009765625,2954.34912109375,2954.34912109375,265000
2024-01-05,000001.SS,2949.820068359375,2967.969970703125,2916.719970703125,2929.179931640625,2929.179931640625,301000
2024-01-08,000001.SS,2923.45703125,2924.4560546875,2887.5380859375,2887.5380859375,2887.5380859375,270300
2024-01-09,000001.SS,2887.110107421875,2900.72998046875,2878.409912109375,2893.25,2893.25,263000
2024-01-10,000001.SS,2886.98095703125,2903.162109375,2870.416015625,2877.701904296875,2877.701904296875,244000
2024-01-11,000001.SS,2873.798095703125,2896.178955078125,2867.721923828125,2886.64990234375,2886.64990234375,267100
2024-01-12,000001.SS,2880.0400390625,2904.174072265625,2878.875,2881.97705078125,2881.97705078125,261600
